#    L    TT             EE             BB             TE          
     2   0.113059E+04   0.548824E-01   0.152302E-05   0.339973E+01
     3   0.105227E+04   0.883161E-01   0.304653E-05   0.425090E+01
     4   0.979643E+03   0.977606E-01   0.507863E-05   0.435873E+01
     5   0.923703E+03   0.853462E-01   0.761995E-05   0.402765E+01
     6   0.883034E+03   0.620408E-01   0.106713E-04   0.349238E+01
     7   0.854711E+03   0.388959E-01   0.142336E-04   0.290156E+01
     8   0.835511E+03   0.222325E-01   0.183078E-04   0.234565E+01
     9   0.823298E+03   0.131250E-01   0.228953E-04   0.187068E+01
    10   0.816507E+03   0.944726E-02   0.279973E-04   0.150140E+01
    11   0.813563E+03   0.832620E-02   0.336151E-04   0.124585E+01
    12   0.814574E+03   0.777964E-02   0.397504E-04   0.110139E+01
    13   0.817759E+03   0.695733E-02   0.464047E-04   0.104377E+01
    14   0.822180E+03   0.605888E-02   0.535796E-04   0.104413E+01
    15   0.828098E+03   0.537527E-02   0.612770E-04   0.108332E+01
    16   0.835884E+03   0.511265E-02   0.694984E-04   0.114565E+01
    17   0.845448E+03   0.526680E-02   0.782457E-04   0.121613E+01
    18   0.855838E+03   0.559595E-02   0.875208E-04   0.128316E+01
    19   0.867879E+03   0.596714E-02   0.973253E-04   0.134124E+01
    20   0.879891E+03   0.635815E-02   0.107661E-03   0.138553E+01
    21   0.892218E+03   0.681383E-02   0.118530E-03   0.142203E+01
    22   0.905130E+03   0.746624E-02   0.129933E-03   0.145708E+01
    23   0.918436E+03   0.836995E-02   0.141873E-03   0.149230E+01
    24   0.932192E+03   0.952073E-02   0.154351E-03   0.152842E+01
    25   0.946338E+03   0.109279E-01   0.167368E-03   0.156727E+01
    26   0.960685E+03   0.125599E-01   0.180926E-03   0.161139E+01
    27   0.975464E+03   0.143729E-01   0.195026E-03   0.165786E+01
    28   0.990528E+03   0.163538E-01   0.209670E-03   0.170389E+01
    29   0.100593E+04   0.185120E-01   0.224858E-03   0.174753E+01
    30   0.102158E+04   0.208642E-01   0.240591E-03   0.178566E+01
    31   0.103736E+04   0.233955E-01   0.256870E-03   0.181595E+01
    32   0.105351E+04   0.260800E-01   0.273696E-03   0.183612E+01
    33   0.107003E+04   0.289283E-01   0.291070E-03   0.184345E+01
    34   0.108674E+04   0.319699E-01   0.308991E-03   0.183716E+01
    35   0.110362E+04   0.352267E-01   0.327460E-03   0.182153E+01
    36   0.112059E+04   0.387195E-01   0.346478E-03   0.179945E+01
    37   0.113767E+04   0.424410E-01   0.366044E-03   0.176707E+01
    38   0.115517E+04   0.463874E-01   0.386157E-03   0.172212E+01
    39   0.117305E+04   0.505703E-01   0.406818E-03   0.166668E+01
    40   0.119106E+04   0.550105E-01   0.428027E-03   0.160371E+01
    41   0.120930E+04   0.597288E-01   0.449782E-03   0.153503E+01
    42   0.122754E+04   0.647264E-01   0.472083E-03   0.145873E+01
    43   0.124592E+04   0.699994E-01   0.494930E-03   0.137199E+01
    44   0.126429E+04   0.755290E-01   0.518321E-03   0.127289E+01
    45   0.128302E+04   0.813068E-01   0.542256E-03   0.115957E+01
    46   0.130205E+04   0.873293E-01   0.566733E-03   0.102893E+01
    47   0.132121E+04   0.935990E-01   0.591752E-03   0.882743E+00
    48   0.134046E+04   0.100127E+00   0.617311E-03   0.726674E+00
    49   0.135988E+04   0.106903E+00   0.643410E-03   0.565780E+00
    50   0.137969E+04   0.113907E+00   0.670047E-03   0.398338E+00
