#    L    TT             EE             BB             TE          
     2   0.117905E+04   0.564737E-01   0.255848E-02   0.343551E+01
     3   0.109116E+04   0.903279E-01   0.292010E-02   0.421553E+01
     4   0.101604E+04   0.998715E-01   0.283875E-02   0.430080E+01
     5   0.959093E+03   0.872604E-01   0.247066E-02   0.396557E+01
     6   0.917977E+03   0.635945E-01   0.198045E-02   0.343455E+01
     7   0.889497E+03   0.400540E-01   0.149568E-02   0.285104E+01
     8   0.870285E+03   0.230520E-01   0.109083E-02   0.230257E+01
     9   0.858153E+03   0.137036E-01   0.794453E-03   0.183382E+01
    10   0.851497E+03   0.988731E-02   0.605294E-03   0.146943E+01
    11   0.848690E+03   0.871195E-02   0.506643E-03   0.121714E+01
    12   0.849790E+03   0.816962E-02   0.476973E-03   0.107449E+01
    13   0.853040E+03   0.738870E-02   0.495923E-03   0.101748E+01
    14   0.857540E+03   0.655109E-02   0.545364E-03   0.101741E+01
    15   0.863565E+03   0.593897E-02   0.614207E-03   0.105535E+01
    16   0.871485E+03   0.575297E-02   0.694152E-03   0.111574E+01
    17   0.881174E+03   0.598743E-02   0.781015E-03   0.118370E+01
    18   0.891646E+03   0.640030E-02   0.872104E-03   0.124773E+01
    19   0.903725E+03   0.685860E-02   0.966565E-03   0.130247E+01
    20   0.915739E+03   0.734016E-02   0.106404E-02   0.134316E+01
    21   0.928039E+03   0.788978E-02   0.116434E-02   0.137581E+01
    22   0.940902E+03   0.863942E-02   0.126731E-02   0.140670E+01
    23   0.954139E+03   0.964328E-02   0.137279E-02   0.143749E+01
    24   0.967806E+03   0.108967E-01   0.148061E-02   0.146896E+01
    25   0.981844E+03   0.124089E-01   0.159052E-02   0.150297E+01
    26   0.996066E+03   0.141479E-01   0.170231E-02   0.154208E+01
    27   0.101071E+04   0.160694E-01   0.181600E-02   0.158344E+01
    28   0.102561E+04   0.181601E-01   0.193167E-02   0.162428E+01
    29   0.104084E+04   0.204304E-01   0.204925E-02   0.166261E+01
    30   0.105631E+04   0.228982E-01   0.216867E-02   0.169525E+01
    31   0.107189E+04   0.255483E-01   0.228984E-02   0.171992E+01
    32   0.108782E+04   0.283542E-01   0.241265E-02   0.173438E+01
    33   0.110411E+04   0.313254E-01   0.253702E-02   0.173595E+01
    34   0.112059E+04   0.344906E-01   0.266278E-02   0.172386E+01
    35   0.113722E+04   0.378721E-01   0.278960E-02   0.170241E+01
    36   0.115393E+04   0.414914E-01   0.291721E-02   0.167449E+01
    37   0.117074E+04   0.453412E-01   0.304580E-02   0.163627E+01
    38   0.118795E+04   0.494179E-01   0.317555E-02   0.158551E+01
    39   0.120555E+04   0.537325E-01   0.330622E-02   0.152429E+01
    40   0.122326E+04   0.583056E-01   0.343745E-02   0.145556E+01
    41   0.124118E+04   0.631576E-01   0.356891E-02   0.138116E+01
    42   0.125910E+04   0.682897E-01   0.370047E-02   0.129919E+01
    43   0.127715E+04   0.736979E-01   0.383202E-02   0.120683E+01
    44   0.129518E+04   0.793633E-01   0.396347E-02   0.110217E+01
    45   0.131357E+04   0.852775E-01   0.409472E-02   0.983368E+00
    46   0.133224E+04   0.914369E-01   0.422567E-02   0.847332E+00
    47   0.135105E+04   0.978440E-01   0.435617E-02   0.695851E+00
    48   0.136993E+04   0.104510E+00   0.448609E-02   0.534590E+00
    49   0.138897E+04   0.111423E+00   0.461526E-02   0.368619E+00
    50   0.140840E+04   0.118565E+00   0.474355E-02   0.196227E+00
    51   0.142801E+04   0.125913E+00   0.487083E-02   0.138755E-01
    52   0.144800E+04   0.133546E+00   0.499698E-02  -0.183647E+00
    53   0.146799E+04   0.141610E+00   0.512195E-02  -0.400121E+00
