#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.117904E+04   0.564722E-01   0.255696E-02   0.343551E+01   0.487590E-07   0.343622E-02  -0.163874E-04
     3   0.109115E+04   0.903249E-01   0.291705E-02   0.421553E+01   0.592890E-07   0.341545E-02  -0.198898E-04
     4   0.101603E+04   0.998664E-01   0.283367E-02   0.430081E+01   0.682602E-07   0.332360E-02  -0.198382E-04
     5   0.959078E+03   0.872528E-01   0.246304E-02   0.396557E+01   0.760210E-07   0.320531E-02  -0.172795E-04
     6   0.917957E+03   0.635839E-01   0.196978E-02   0.343455E+01   0.827754E-07   0.307920E-02  -0.131639E-04
     7   0.889470E+03   0.400398E-01   0.148144E-02   0.285104E+01   0.887059E-07   0.295495E-02  -0.840254E-05
     8   0.870250E+03   0.230337E-01   0.107252E-02   0.230257E+01   0.939398E-07   0.283323E-02  -0.381797E-05
     9   0.858109E+03   0.136807E-01   0.771558E-03   0.183382E+01   0.985852E-07   0.271324E-02  -0.492481E-07
    10   0.851444E+03   0.985932E-02   0.577297E-03   0.146944E+01   0.102711E-06   0.259703E-02   0.256721E-05
    11   0.848627E+03   0.867834E-02   0.473028E-03   0.121715E+01   0.106408E-06   0.248963E-02   0.399236E-05
    12   0.849716E+03   0.812987E-02   0.437223E-03   0.107451E+01   0.109701E-06   0.239255E-02   0.432770E-05
    13   0.852954E+03   0.734230E-02   0.449518E-03   0.101751E+01   0.112633E-06   0.230444E-02   0.374419E-05
    14   0.857441E+03   0.649752E-02   0.491784E-03   0.101745E+01   0.115257E-06   0.222344E-02   0.246708E-05
    15   0.863452E+03   0.587771E-02   0.552930E-03   0.105539E+01   0.117604E-06   0.214672E-02   0.917178E-06
    16   0.871358E+03   0.568349E-02   0.624653E-03   0.111579E+01   0.119698E-06   0.207212E-02  -0.495872E-06
    17   0.881032E+03   0.590921E-02   0.702770E-03   0.118376E+01   0.121567E-06   0.200085E-02  -0.157052E-05
    18   0.891488E+03   0.631281E-02   0.784584E-03   0.124781E+01   0.123237E-06   0.193435E-02  -0.220242E-05
    19   0.903550E+03   0.676132E-02   0.869240E-03   0.130257E+01   0.124718E-06   0.187190E-02  -0.246690E-05
    20   0.915546E+03   0.723256E-02   0.956382E-03   0.134328E+01   0.126020E-06   0.181237E-02  -0.245786E-05
    21   0.927829E+03   0.777135E-02   0.104581E-02   0.137596E+01   0.127164E-06   0.175522E-02  -0.217278E-05
    22   0.940673E+03   0.850961E-02   0.113738E-02   0.140687E+01   0.128171E-06   0.170019E-02  -0.162463E-05
    23   0.953891E+03   0.950157E-02   0.123092E-02   0.143768E+01   0.129050E-06   0.164765E-02  -0.983292E-06
    24   0.967539E+03   0.107426E-01   0.132626E-02   0.146919E+01   0.129806E-06   0.159796E-02  -0.439429E-06
    25   0.981556E+03   0.122418E-01   0.142315E-02   0.150324E+01   0.130451E-06   0.155104E-02  -0.116343E-06
    26   0.995757E+03   0.139673E-01   0.152138E-02   0.154239E+01   0.130997E-06   0.150663E-02  -0.759573E-07
    27   0.101038E+04   0.158747E-01   0.162098E-02   0.158379E+01   0.131451E-06   0.146433E-02  -0.203850E-06
    28   0.102526E+04   0.179509E-01   0.172200E-02   0.162468E+01   0.131822E-06   0.142380E-02  -0.367796E-06
    29   0.104047E+04   0.202061E-01   0.182439E-02   0.166306E+01   0.132108E-06   0.138524E-02  -0.536462E-06
    30   0.105591E+04   0.226583E-01   0.192808E-02   0.169576E+01   0.132311E-06   0.134885E-02  -0.709182E-06
    31   0.107147E+04   0.252923E-01   0.203297E-02   0.172048E+01   0.132442E-06   0.131425E-02  -0.907363E-06
    32   0.108738E+04   0.280816E-01   0.213896E-02   0.173501E+01   0.132512E-06   0.128096E-02  -0.113651E-05
    33   0.110365E+04   0.310356E-01   0.224595E-02   0.173665E+01   0.132525E-06   0.124868E-02  -0.131706E-05
    34   0.112010E+04   0.341832E-01   0.235379E-02   0.172463E+01   0.132483E-06   0.121719E-02  -0.136380E-05
    35   0.113671E+04   0.375465E-01   0.246214E-02   0.170325E+01   0.132391E-06   0.118651E-02  -0.125229E-05
    36   0.115339E+04   0.411471E-01   0.257074E-02   0.167541E+01   0.132251E-06   0.115681E-02  -0.999351E-06
    37   0.117017E+04   0.449778E-01   0.267976E-02   0.163727E+01   0.132069E-06   0.112859E-02  -0.726026E-06
    38   0.118736E+04   0.490347E-01   0.278940E-02   0.158660E+01   0.131846E-06   0.110226E-02  -0.546447E-06
    39   0.120493E+04   0.533292E-01   0.289941E-02   0.152547E+01   0.131585E-06   0.107745E-02  -0.444786E-06
    40   0.122261E+04   0.578816E-01   0.300942E-02   0.145684E+01   0.131288E-06   0.105363E-02  -0.372960E-06
    41   0.124052E+04   0.627125E-01   0.311913E-02   0.138253E+01   0.130957E-06   0.103036E-02  -0.293611E-06
    42   0.125840E+04   0.678230E-01   0.322838E-02   0.130065E+01   0.130595E-06   0.100761E-02  -0.211605E-06
    43   0.127643E+04   0.732092E-01   0.333709E-02   0.120839E+01   0.130203E-06   0.985477E-03  -0.142302E-06
    44   0.129443E+04   0.788521E-01   0.344515E-02   0.110384E+01   0.129783E-06   0.964046E-03  -0.101019E-06
    45   0.131280E+04   0.847434E-01   0.355247E-02   0.985136E+00   0.129339E-06   0.943403E-03  -0.103028E-06
    46   0.133144E+04   0.908794E-01   0.365894E-02   0.849204E+00   0.128872E-06   0.923597E-03  -0.157921E-06
    47   0.135022E+04   0.972627E-01   0.376442E-02   0.697827E+00   0.128385E-06   0.904523E-03  -0.252721E-06
    48   0.136908E+04   0.103904E+00   0.386878E-02   0.536669E+00   0.127878E-06   0.886038E-03  -0.368853E-06
    49   0.138809E+04   0.110793E+00   0.397185E-02   0.370800E+00   0.127353E-06   0.867999E-03  -0.487800E-06
    50   0.140749E+04   0.117910E+00   0.407351E-02   0.198509E+00   0.126812E-06   0.850266E-03  -0.591089E-06
    51   0.142706E+04   0.125232E+00   0.417360E-02   0.162572E-01   0.126256E-06   0.832748E-03  -0.664174E-06
    52   0.144702E+04   0.132840E+00   0.427205E-02  -0.181168E+00   0.125687E-06   0.815554E-03  -0.708076E-06
    53   0.146699E+04   0.140878E+00   0.436877E-02  -0.397549E+00   0.125104E-06   0.798844E-03  -0.727689E-06
    54   0.148688E+04   0.149333E+00   0.446369E-02  -0.628698E+00   0.124510E-06   0.782777E-03  -0.727892E-06
    55   0.150690E+04   0.158178E+00   0.455672E-02  -0.870312E+00   0.123905E-06   0.767512E-03  -0.713554E-06
    56   0.152728E+04   0.167265E+00   0.464779E-02  -0.112418E+01   0.123291E-06   0.753157E-03  -0.689109E-06
    57   0.154794E+04   0.176488E+00   0.473679E-02  -0.139012E+01   0.122666E-06   0.739605E-03  -0.657287E-06
    58   0.156889E+04   0.185859E+00   0.482362E-02  -0.166871E+01   0.122033E-06   0.726701E-03  -0.620391E-06
    59   0.158999E+04   0.195420E+00   0.490818E-02  -0.196053E+01   0.121392E-06   0.714289E-03  -0.580720E-06
    60   0.161125E+04   0.205228E+00   0.499037E-02  -0.226475E+01   0.120743E-06   0.702211E-03  -0.540566E-06
    61   0.163298E+04   0.215376E+00   0.507009E-02  -0.258042E+01   0.120087E-06   0.690335E-03  -0.502096E-06
    62   0.165459E+04   0.225852E+00   0.514730E-02  -0.290849E+01   0.119424E-06   0.678611E-03  -0.466981E-06
    63   0.167630E+04   0.236613E+00   0.522196E-02  -0.325007E+01   0.118756E-06   0.667014E-03  -0.436764E-06
    64   0.169841E+04   0.247667E+00   0.529401E-02  -0.360645E+01   0.118084E-06   0.655517E-03  -0.412989E-06
    65   0.172055E+04   0.258987E+00   0.536343E-02  -0.397835E+01   0.117408E-06   0.644093E-03  -0.397195E-06
    66   0.174302E+04   0.270505E+00   0.543017E-02  -0.436396E+01   0.116730E-06   0.632738E-03  -0.390939E-06
    67   0.176566E+04   0.282220E+00   0.549416E-02  -0.476044E+01   0.116050E-06   0.621536E-03  -0.395843E-06
    68   0.178872E+04   0.294176E+00   0.555536E-02  -0.516597E+01   0.115368E-06   0.610590E-03  -0.413543E-06
    69   0.181196E+04   0.306331E+00   0.561369E-02  -0.557869E+01   0.114685E-06   0.600005E-03  -0.445675E-06
