#    L    TT             EE             TE             PP             TP          
     2   0.113058E+04   0.548809E-01   0.339973E+01   0.101145E+07   0.320309E+05
     3   0.105227E+04   0.883130E-01   0.425090E+01   0.155657E+07   0.379897E+05
     4   0.979633E+03   0.977555E-01   0.435873E+01   0.203901E+07   0.407259E+05
     5   0.923689E+03   0.853386E-01   0.402765E+01   0.246401E+07   0.417565E+05
     6   0.883014E+03   0.620301E-01   0.349238E+01   0.283844E+07   0.418450E+05
     7   0.854684E+03   0.388816E-01   0.290156E+01   0.316987E+07   0.414179E+05
     8   0.835476E+03   0.222142E-01   0.234565E+01   0.346431E+07   0.406611E+05
     9   0.823255E+03   0.131021E-01   0.187069E+01   0.372708E+07   0.396714E+05
    10   0.816455E+03   0.941927E-02   0.150141E+01   0.396189E+07   0.385491E+05
    11   0.813500E+03   0.829259E-02   0.124586E+01   0.417322E+07   0.374177E+05
    12   0.814499E+03   0.773989E-02   0.110141E+01   0.436272E+07   0.363366E+05
    13   0.817672E+03   0.691093E-02   0.104380E+01   0.453281E+07   0.353113E+05
    14   0.822080E+03   0.600531E-02   0.104416E+01   0.468613E+07   0.343326E+05
    15   0.827985E+03   0.531400E-02   0.108336E+01   0.482433E+07   0.333701E+05
    16   0.835757E+03   0.504317E-02   0.114570E+01   0.494881E+07   0.324002E+05
    17   0.845306E+03   0.518858E-02   0.121619E+01   0.506105E+07   0.314488E+05
    18   0.855680E+03   0.550846E-02   0.128324E+01   0.516239E+07   0.305450E+05
    19   0.867704E+03   0.586986E-02   0.134134E+01   0.525349E+07   0.296820E+05
    20   0.879699E+03   0.625056E-02   0.138565E+01   0.533499E+07   0.288462E+05
    21   0.892008E+03   0.669539E-02   0.142218E+01   0.540793E+07   0.280318E+05
    22   0.904901E+03   0.733643E-02   0.145725E+01   0.547335E+07   0.272375E+05
    23   0.918188E+03   0.822823E-02   0.149250E+01   0.553175E+07   0.264707E+05
    24   0.931925E+03   0.936658E-02   0.152865E+01   0.558354E+07   0.257395E+05
    25   0.946051E+03   0.107608E-01   0.156754E+01   0.562929E+07   0.250437E+05
    26   0.960376E+03   0.123793E-01   0.161170E+01   0.566960E+07   0.243808E+05
    27   0.975135E+03   0.141783E-01   0.165821E+01   0.570491E+07   0.237451E+05
    28   0.990177E+03   0.161446E-01   0.170429E+01   0.573560E+07   0.231320E+05
    29   0.100556E+04   0.182877E-01   0.174798E+01   0.576175E+07   0.225458E+05
    30   0.102119E+04   0.206243E-01   0.178617E+01   0.578345E+07   0.219902E+05
    31   0.103694E+04   0.231395E-01   0.181652E+01   0.580124E+07   0.214596E+05
    32   0.105306E+04   0.258074E-01   0.183675E+01   0.581566E+07   0.209467E+05
    33   0.106956E+04   0.286385E-01   0.184415E+01   0.582693E+07   0.204470E+05
    34   0.108625E+04   0.316625E-01   0.183793E+01   0.583519E+07   0.199572E+05
    35   0.110311E+04   0.349011E-01   0.182237E+01   0.584064E+07   0.194781E+05
    36   0.112005E+04   0.383753E-01   0.180037E+01   0.584351E+07   0.190125E+05
