#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.113058E+04   0.339973E+01   0.343622E-02   0.339973E+01   0.548809E-01  -0.163874E-04   0.343622E-02  -0.163874E-04   0.487590E-07
     3   0.105227E+04   0.425090E+01   0.341545E-02   0.425090E+01   0.883130E-01  -0.198898E-04   0.341545E-02  -0.198898E-04   0.592890E-07
     4   0.979633E+03   0.435873E+01   0.332360E-02   0.435873E+01   0.977555E-01  -0.198382E-04   0.332360E-02  -0.198382E-04   0.682602E-07
     5   0.923689E+03   0.402765E+01   0.320531E-02   0.402765E+01   0.853386E-01  -0.172795E-04   0.320531E-02  -0.172795E-04   0.760209E-07
     6   0.883014E+03   0.349238E+01   0.307920E-02   0.349238E+01   0.620301E-01  -0.131639E-04   0.307920E-02  -0.131639E-04   0.827754E-07
     7   0.854684E+03   0.290156E+01   0.295495E-02   0.290156E+01   0.388816E-01  -0.840254E-05   0.295495E-02  -0.840254E-05   0.887059E-07
     8   0.835476E+03   0.234565E+01   0.283323E-02   0.234565E+01   0.222142E-01  -0.381797E-05   0.283323E-02  -0.381797E-05   0.939398E-07
     9   0.823255E+03   0.187069E+01   0.271324E-02   0.187069E+01   0.131021E-01  -0.492481E-07   0.271324E-02  -0.492481E-07   0.985852E-07
    10   0.816455E+03   0.150141E+01   0.259703E-02   0.150141E+01   0.941927E-02   0.256721E-05   0.259703E-02   0.256721E-05   0.102711E-06
    11   0.813500E+03   0.124586E+01   0.248963E-02   0.124586E+01   0.829259E-02   0.399236E-05   0.248963E-02   0.399236E-05   0.106408E-06
    12   0.814499E+03   0.110141E+01   0.239252E-02   0.110141E+01   0.773989E-02   0.432841E-05   0.239252E-02   0.432841E-05   0.109701E-06
    13   0.817672E+03   0.104380E+01   0.230444E-02   0.104380E+01   0.691093E-02   0.374419E-05   0.230444E-02   0.374419E-05   0.112633E-06
    14   0.822080E+03   0.104416E+01   0.222343E-02   0.104416E+01   0.600531E-02   0.246793E-05   0.222343E-02   0.246793E-05   0.115257E-06
    15   0.827985E+03   0.108336E+01   0.214672E-02   0.108336E+01   0.531400E-02   0.917178E-06   0.214672E-02   0.917178E-06   0.117604E-06
    16   0.835757E+03   0.114570E+01   0.207213E-02   0.114570E+01   0.504317E-02  -0.495975E-06   0.207213E-02  -0.495975E-06   0.119698E-06
    17   0.845306E+03   0.121619E+01   0.200085E-02   0.121619E+01   0.518858E-02  -0.157051E-05   0.200085E-02  -0.157051E-05   0.121567E-06
    18   0.855680E+03   0.128324E+01   0.193435E-02   0.128324E+01   0.550846E-02  -0.220272E-05   0.193435E-02  -0.220272E-05   0.123237E-06
    19   0.867704E+03   0.134134E+01   0.187190E-02   0.134134E+01   0.586986E-02  -0.246690E-05   0.187190E-02  -0.246690E-05   0.124718E-06
    20   0.879699E+03   0.138565E+01   0.181237E-02   0.138565E+01   0.625056E-02  -0.245768E-05   0.181237E-02  -0.245768E-05   0.126020E-06
    21   0.892008E+03   0.142218E+01   0.175522E-02   0.142218E+01   0.669539E-02  -0.217278E-05   0.175522E-02  -0.217278E-05   0.127164E-06
    22   0.904901E+03   0.145725E+01   0.170019E-02   0.145725E+01   0.733643E-02  -0.162486E-05   0.170019E-02  -0.162486E-05   0.128171E-06
    23   0.918188E+03   0.149250E+01   0.164765E-02   0.149250E+01   0.822823E-02  -0.983292E-06   0.164765E-02  -0.983292E-06   0.129050E-06
    24   0.931925E+03   0.152865E+01   0.159796E-02   0.152865E+01   0.936658E-02  -0.439464E-06   0.159796E-02  -0.439464E-06   0.129806E-06
    25   0.946051E+03   0.156754E+01   0.155104E-02   0.156754E+01   0.107608E-01  -0.116343E-06   0.155104E-02  -0.116343E-06   0.130451E-06
    26   0.960376E+03   0.161170E+01   0.150663E-02   0.161170E+01   0.123793E-01  -0.758057E-07   0.150663E-02  -0.758057E-07   0.130997E-06
    27   0.975135E+03   0.165821E+01   0.146433E-02   0.165821E+01   0.141783E-01  -0.203850E-06   0.146433E-02  -0.203850E-06   0.131451E-06
    28   0.990177E+03   0.170429E+01   0.142380E-02   0.170429E+01   0.161446E-01  -0.367838E-06   0.142380E-02  -0.367838E-06   0.131822E-06
    29   0.100556E+04   0.174798E+01   0.138524E-02   0.174798E+01   0.182877E-01  -0.536462E-06   0.138524E-02  -0.536462E-06   0.132108E-06
    30   0.102119E+04   0.178617E+01   0.134885E-02   0.178617E+01   0.206243E-01  -0.709204E-06   0.134885E-02  -0.709204E-06   0.132311E-06
    31   0.103694E+04   0.181652E+01   0.131425E-02   0.181652E+01   0.231395E-01  -0.907363E-06   0.131425E-02  -0.907363E-06   0.132442E-06
    32   0.105306E+04   0.183675E+01   0.128096E-02   0.183675E+01   0.258074E-01  -0.113646E-05   0.128096E-02  -0.113646E-05   0.132512E-06
    33   0.106956E+04   0.184415E+01   0.124868E-02   0.184415E+01   0.286385E-01  -0.131706E-05   0.124868E-02  -0.131706E-05   0.132525E-06
    34   0.108625E+04   0.183793E+01   0.121719E-02   0.183793E+01   0.316625E-01  -0.136379E-05   0.121719E-02  -0.136379E-05   0.132483E-06
    35   0.110311E+04   0.182237E+01   0.118651E-02   0.182237E+01   0.349011E-01  -0.125229E-05   0.118651E-02  -0.125229E-05   0.132391E-06
    36   0.112005E+04   0.180037E+01   0.115681E-02   0.180037E+01   0.383753E-01  -0.999448E-06   0.115681E-02  -0.999448E-06   0.132251E-06
    37   0.113711E+04   0.176807E+01   0.112859E-02   0.176807E+01   0.420775E-01  -0.726026E-06   0.112859E-02  -0.726026E-06   0.132069E-06
