#    L    TT             EE             BB             TE          
     2   0.484616E+02   0.159128E-02   0.255696E-02   0.357817E-01
     3   0.388849E+02   0.201182E-02   0.291705E-02  -0.353678E-01
     4   0.363986E+02   0.211090E-02   0.283367E-02  -0.579247E-01
     5   0.353896E+02   0.191420E-02   0.246304E-02  -0.620746E-01
     6   0.349430E+02   0.155378E-02   0.196978E-02  -0.578344E-01
     7   0.347857E+02   0.115814E-02   0.148144E-02  -0.505250E-01
     8   0.347739E+02   0.819438E-03   0.107252E-02  -0.430821E-01
     9   0.348543E+02   0.578569E-03   0.771558E-03  -0.368619E-01
    10   0.349892E+02   0.440052E-03   0.577297E-03  -0.319759E-01
    11   0.351271E+02   0.385752E-03   0.473028E-03  -0.287160E-01
    12   0.352166E+02   0.389976E-03   0.437223E-03  -0.268957E-01
    13   0.352818E+02   0.431371E-03   0.449518E-03  -0.262910E-01
    14   0.353606E+02   0.492214E-03   0.491784E-03  -0.267119E-01
    15   0.354673E+02   0.563707E-03   0.552930E-03  -0.279742E-01
    16   0.356010E+02   0.640314E-03   0.624653E-03  -0.299118E-01
    17   0.357264E+02   0.720629E-03   0.702770E-03  -0.324261E-01
    18   0.358082E+02   0.804349E-03   0.784584E-03  -0.354247E-01
    19   0.358459E+02   0.891461E-03   0.869240E-03  -0.387739E-01
    20   0.358475E+02   0.982008E-03   0.956382E-03  -0.423632E-01
    21   0.358209E+02   0.107595E-02   0.104581E-02  -0.462190E-01
    22   0.357724E+02   0.117319E-02   0.113738E-02  -0.503818E-01
    23   0.357033E+02   0.127334E-02   0.123092E-02  -0.548127E-01
    24   0.356136E+02   0.137602E-02   0.132626E-02  -0.594596E-01
    25   0.355055E+02   0.148098E-02   0.142315E-02  -0.642992E-01
    26   0.353810E+02   0.158796E-02   0.152138E-02  -0.693067E-01
    27   0.352409E+02   0.169646E-02   0.162098E-02  -0.744252E-01
    28   0.350852E+02   0.180624E-02   0.172200E-02  -0.796133E-01
    29   0.349139E+02   0.191839E-02   0.182439E-02  -0.849241E-01
    30   0.347270E+02   0.203400E-02   0.192808E-02  -0.904109E-01
    31   0.345266E+02   0.215282E-02   0.203297E-02  -0.960341E-01
    32   0.343145E+02   0.227420E-02   0.213896E-02  -0.101738E+00
    33   0.340897E+02   0.239708E-02   0.224595E-02  -0.107497E+00
    34   0.338510E+02   0.252066E-02   0.235379E-02  -0.113294E+00
    35   0.336001E+02   0.264537E-02   0.246214E-02  -0.119120E+00
    36   0.333387E+02   0.277185E-02   0.257074E-02  -0.124963E+00
    37   0.330671E+02   0.290023E-02   0.267976E-02  -0.130801E+00
    38   0.327852E+02   0.303045E-02   0.278940E-02  -0.136615E+00
    39   0.324932E+02   0.316220E-02   0.289941E-02  -0.142398E+00
    40   0.321914E+02   0.329510E-02   0.300942E-02  -0.148150E+00
    41   0.318801E+02   0.342885E-02   0.311913E-02  -0.153868E+00
    42   0.315597E+02   0.356333E-02   0.322838E-02  -0.159542E+00
    43   0.312306E+02   0.369850E-02   0.333709E-02  -0.165163E+00
    44   0.308933E+02   0.383431E-02   0.344515E-02  -0.170718E+00
    45   0.305480E+02   0.397072E-02   0.355247E-02  -0.176199E+00
    46   0.301953E+02   0.410767E-02   0.365894E-02  -0.181593E+00
    47   0.298356E+02   0.424501E-02   0.376442E-02  -0.186892E+00
    48   0.294691E+02   0.438262E-02   0.386878E-02  -0.192084E+00
    49   0.290964E+02   0.452033E-02   0.397185E-02  -0.197161E+00
    50   0.287178E+02   0.465799E-02   0.407351E-02  -0.202111E+00
    51   0.283338E+02   0.479546E-02   0.417360E-02  -0.206927E+00
    52   0.279446E+02   0.493258E-02   0.427205E-02  -0.211602E+00
    53   0.275507E+02   0.506920E-02   0.436877E-02  -0.216133E+00
    54   0.271525E+02   0.520517E-02   0.446369E-02  -0.220516E+00
    55   0.267502E+02   0.534033E-02   0.455672E-02  -0.224747E+00
    56   0.263444E+02   0.547455E-02   0.464779E-02  -0.228821E+00
    57   0.259351E+02   0.560777E-02   0.473679E-02  -0.232731E+00
    58   0.255228E+02   0.573993E-02   0.482362E-02  -0.236471E+00
    59   0.251074E+02   0.587099E-02   0.490818E-02  -0.240032E+00
    60   0.246894E+02   0.600092E-02   0.499037E-02  -0.243409E+00
    61   0.242689E+02   0.612964E-02   0.507009E-02  -0.246595E+00
    62   0.238464E+02   0.625705E-02   0.514730E-02  -0.249592E+00
    63   0.234224E+02   0.638302E-02   0.522196E-02  -0.252402E+00
    64   0.229972E+02   0.650741E-02   0.529401E-02  -0.255028E+00
    65   0.225715E+02   0.663012E-02   0.536343E-02  -0.257473E+00
    66   0.221455E+02   0.675099E-02   0.543017E-02  -0.259739E+00
    67   0.217196E+02   0.686988E-02   0.549416E-02  -0.261818E+00
    68   0.212938E+02   0.698663E-02   0.555536E-02  -0.263700E+00
    69   0.208683E+02   0.710108E-02   0.561369E-02  -0.265379E+00
    70   0.204432E+02   0.721307E-02   0.566910E-02  -0.266844E+00
    71   0.200187E+02   0.732249E-02   0.572153E-02  -0.268090E+00
    72   0.195952E+02   0.742942E-02   0.577098E-02  -0.269127E+00
    73   0.191731E+02   0.753397E-02   0.581746E-02  -0.269970E+00
    74   0.187526E+02   0.763627E-02   0.586097E-02  -0.270631E+00
    75   0.183341E+02   0.773643E-02   0.590152E-02  -0.271124E+00
    76   0.179180E+02   0.783450E-02   0.593910E-02  -0.271459E+00
    77   0.175045E+02   0.793023E-02   0.597371E-02  -0.271628E+00
    78   0.170936E+02   0.802328E-02   0.600534E-02  -0.271621E+00
    79   0.166854E+02   0.811331E-02   0.603397E-02  -0.271425E+00
    80   0.162801E+02   0.820000E-02   0.605960E-02  -0.271029E+00
    81   0.158779E+02   0.828309E-02   0.608220E-02  -0.270426E+00
    82   0.154789E+02   0.836262E-02   0.610179E-02  -0.269624E+00
    83   0.150835E+02   0.843871E-02   0.611837E-02  -0.268636E+00
    84   0.146919E+02   0.851150E-02   0.613194E-02  -0.267473E+00
    85   0.143044E+02   0.858109E-02   0.614251E-02  -0.266149E+00
    86   0.139212E+02   0.864758E-02   0.615009E-02  -0.264673E+00
    87   0.135425E+02   0.871088E-02   0.615469E-02  -0.263048E+00
    88   0.131684E+02   0.877087E-02   0.615634E-02  -0.261276E+00
    89   0.127992E+02   0.882745E-02   0.615506E-02  -0.259357E+00
    90   0.124348E+02   0.888048E-02   0.615086E-02  -0.257292E+00
    91   0.120754E+02   0.892988E-02   0.614378E-02  -0.255084E+00
    92   0.117212E+02   0.897563E-02   0.613387E-02  -0.252735E+00
    93   0.113721E+02   0.901776E-02   0.612118E-02  -0.250252E+00
    94   0.110283E+02   0.905627E-02   0.610579E-02  -0.247640E+00
    95   0.106897E+02   0.909119E-02   0.608774E-02  -0.244903E+00
    96   0.103565E+02   0.912252E-02   0.606710E-02  -0.242047E+00
    97   0.100288E+02   0.915029E-02   0.604392E-02  -0.239076E+00
    98   0.970658E+01   0.917451E-02   0.601827E-02  -0.235997E+00
    99   0.938992E+01   0.919520E-02   0.599020E-02  -0.232814E+00
   100   0.907889E+01   0.921236E-02   0.595978E-02  -0.229533E+00
   101   0.877355E+01   0.922602E-02   0.592707E-02  -0.226157E+00
   102   0.847399E+01   0.923619E-02   0.589211E-02  -0.222693E+00
   103   0.818025E+01   0.924289E-02   0.585498E-02  -0.219146E+00
   104   0.789242E+01   0.924613E-02   0.581573E-02  -0.215521E+00
   105   0.761054E+01   0.924593E-02   0.577442E-02  -0.211822E+00
   106   0.733470E+01   0.924231E-02   0.573112E-02  -0.208056E+00
   107   0.706495E+01   0.923527E-02   0.568587E-02  -0.204226E+00
   108   0.680136E+01   0.922483E-02   0.563875E-02  -0.200339E+00
   109   0.654400E+01   0.921102E-02   0.558980E-02  -0.196399E+00
   110   0.629293E+01   0.919384E-02   0.553909E-02  -0.192412E+00
   111   0.604820E+01   0.917332E-02   0.548668E-02  -0.188382E+00
   112   0.580978E+01   0.914949E-02   0.543265E-02  -0.184313E+00
   113   0.557760E+01   0.912241E-02   0.537707E-02  -0.180210E+00
   114   0.535163E+01   0.909211E-02   0.532002E-02  -0.176077E+00
   115   0.513179E+01   0.905864E-02   0.526156E-02  -0.171917E+00
   116   0.491805E+01   0.902205E-02   0.520179E-02  -0.167734E+00
   117   0.471034E+01   0.898238E-02   0.514077E-02  -0.163533E+00
   118   0.450860E+01   0.893968E-02   0.507858E-02  -0.159317E+00
   119   0.431280E+01   0.889399E-02   0.501530E-02  -0.155090E+00
   120   0.412286E+01   0.884536E-02   0.495101E-02  -0.150856E+00
   121   0.393875E+01   0.879383E-02   0.488577E-02  -0.146619E+00
   122   0.376039E+01   0.873945E-02   0.481967E-02  -0.142383E+00
   123   0.358775E+01   0.868226E-02   0.475278E-02  -0.138153E+00
   124   0.342076E+01   0.862231E-02   0.468518E-02  -0.133931E+00
   125   0.325937E+01   0.855964E-02   0.461694E-02  -0.129722E+00
   126   0.310352E+01   0.849431E-02   0.454814E-02  -0.125530E+00
   127   0.295317E+01   0.842634E-02   0.447886E-02  -0.121358E+00
