#    L    TT             EE             BB             TE          
     2   0.117904E+04   0.564722E-01   0.255696E-02   0.343551E+01
     3   0.109115E+04   0.903249E-01   0.291705E-02   0.421553E+01
     4   0.101603E+04   0.998664E-01   0.283367E-02   0.430081E+01
     5   0.959078E+03   0.872528E-01   0.246304E-02   0.396557E+01
     6   0.917957E+03   0.635839E-01   0.196978E-02   0.343455E+01
     7   0.889470E+03   0.400398E-01   0.148144E-02   0.285104E+01
     8   0.870250E+03   0.230337E-01   0.107252E-02   0.230257E+01
     9   0.858109E+03   0.136807E-01   0.771558E-03   0.183382E+01
    10   0.851444E+03   0.985932E-02   0.577297E-03   0.146944E+01
    11   0.848627E+03   0.867834E-02   0.473028E-03   0.121715E+01
    12   0.849716E+03   0.812987E-02   0.437223E-03   0.107451E+01
    13   0.852954E+03   0.734230E-02   0.449518E-03   0.101751E+01
    14   0.857441E+03   0.649752E-02   0.491784E-03   0.101745E+01
    15   0.863452E+03   0.587771E-02   0.552930E-03   0.105539E+01
    16   0.871358E+03   0.568349E-02   0.624653E-03   0.111579E+01
    17   0.881032E+03   0.590921E-02   0.702770E-03   0.118376E+01
    18   0.891488E+03   0.631281E-02   0.784584E-03   0.124781E+01
    19   0.903550E+03   0.676132E-02   0.869240E-03   0.130257E+01
    20   0.915546E+03   0.723256E-02   0.956382E-03   0.134328E+01
    21   0.927829E+03   0.777135E-02   0.104581E-02   0.137596E+01
    22   0.940673E+03   0.850961E-02   0.113738E-02   0.140687E+01
    23   0.953891E+03   0.950157E-02   0.123092E-02   0.143768E+01
    24   0.967539E+03   0.107426E-01   0.132626E-02   0.146919E+01
    25   0.981556E+03   0.122418E-01   0.142315E-02   0.150324E+01
    26   0.995757E+03   0.139673E-01   0.152138E-02   0.154239E+01
    27   0.101038E+04   0.158747E-01   0.162098E-02   0.158379E+01
    28   0.102526E+04   0.179509E-01   0.172200E-02   0.162468E+01
    29   0.104047E+04   0.202061E-01   0.182439E-02   0.166306E+01
    30   0.105591E+04   0.226583E-01   0.192808E-02   0.169576E+01
    31   0.107147E+04   0.252923E-01   0.203297E-02   0.172048E+01
    32   0.108738E+04   0.280816E-01   0.213896E-02   0.173501E+01
    33   0.110365E+04   0.310356E-01   0.224595E-02   0.173665E+01
    34   0.112010E+04   0.341832E-01   0.235379E-02   0.172463E+01
    35   0.113671E+04   0.375465E-01   0.246214E-02   0.170325E+01
    36   0.115339E+04   0.411471E-01   0.257074E-02   0.167541E+01
    37   0.117017E+04   0.449778E-01   0.267976E-02   0.163727E+01
    38   0.118736E+04   0.490347E-01   0.278940E-02   0.158660E+01
    39   0.120493E+04   0.533292E-01   0.289941E-02   0.152547E+01
    40   0.122261E+04   0.578816E-01   0.300942E-02   0.145684E+01
    41   0.124052E+04   0.627125E-01   0.311913E-02   0.138253E+01
    42   0.125840E+04   0.678230E-01   0.322838E-02   0.130065E+01
    43   0.127643E+04   0.732092E-01   0.333709E-02   0.120839E+01
    44   0.129443E+04   0.788521E-01   0.344515E-02   0.110384E+01
    45   0.131280E+04   0.847434E-01   0.355247E-02   0.985136E+00
    46   0.133144E+04   0.908794E-01   0.365894E-02   0.849204E+00
    47   0.135022E+04   0.972627E-01   0.376442E-02   0.697827E+00
    48   0.136908E+04   0.103904E+00   0.386878E-02   0.536669E+00
    49   0.138809E+04   0.110793E+00   0.397185E-02   0.370800E+00
    50   0.140749E+04   0.117910E+00   0.407351E-02   0.198509E+00
    51   0.142706E+04   0.125232E+00   0.417360E-02   0.162572E-01
    52   0.144702E+04   0.132840E+00   0.427205E-02  -0.181168E+00
